                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7649,                 5.7188,                 4.1572,                      0,                      0,                      0,                      0,                  2.699,                  4.952,                 4.1296,                0.00015,                0.00015,                0.00015
                      2,                 2.6293,                 5.6093,                 4.0127,                      0,                      0,                      0,                      0,                 2.4463,                 4.9097,                 4.0082,             0.00030198,             0.00030198,             0.00030198
                      3,                 2.4032,                 5.4396,                 3.6742,                      0,                      0,                      0,                      0,                 2.1008,                 4.8875,                 3.7624,             0.00045089,             0.00045089,             0.00045089
                      4,                 2.1713,                 4.8229,                 3.1609,                0.01356,                0.11632,                0.01316,                0.00518,                  1.671,                  4.815,                 3.3071,             0.00048515,             0.00048515,             0.00048515
                      5,                 2.0883,                 4.3795,                 2.8769,                0.20673,                0.19271,                0.06096,                0.04231,                 1.5858,                 9.5183,                 2.4309,             0.00048515,             0.00048515,             0.00048515
                      6,                 1.8345,                 4.0373,                 2.6128,                0.34038,                0.04201,                0.10502,                0.07388,                 1.2669,                 3.7293,                 2.1449,              0.0004802,              0.0004802,              0.0004802
                      7,                  1.747,                 3.7535,                 2.4563,                0.23238,                0.57431,                0.11543,                0.08829,                 1.0065,                 3.3962,                 1.7199,             0.00047525,             0.00047525,             0.00047525
                      8,                  1.603,                 3.5652,                 2.3042,                0.12778,                  0.632,                0.15688,                 0.1067,                 1.1444,                 2.8423,                  1.802,              0.0004703,              0.0004703,              0.0004703
                      9,                 1.4099,                 3.3985,                  2.088,                0.12797,                0.54226,                0.15906,                0.12285,                0.87386,                 2.7776,                 1.5624,             0.00046535,             0.00046535,             0.00046535
                     10,                 1.4149,                 3.3974,                 2.0898,                0.14361,                0.88478,                0.17391,                0.14532,                0.74317,                 2.5242,                 1.4455,              0.0004604,              0.0004604,              0.0004604
                     11,                 1.2821,                 3.1957,                 1.9587,                0.24067,                0.55288,                0.16793,                0.14321,                0.74642,                 2.4613,                 1.4034,             0.00045545,             0.00045545,             0.00045545
                     12,                 1.1435,                 3.0797,                 1.8337,                0.18127,                0.58348,                0.15775,                0.13489,                 0.6669,                 2.3231,                 1.2966,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.0949,                 3.0697,                 1.7855,                0.12077,                0.71042,                0.20239,                  0.171,                0.68427,                 2.3513,                 1.3224,             0.00044555,             0.00044555,             0.00044555
                     14,                 1.0578,                 2.9077,                 1.7266,                0.19467,                0.58078,                0.27844,                0.23925,                 0.6227,                  2.254,                 1.2207,              0.0004406,              0.0004406,              0.0004406
                     15,                 1.0029,                 2.8902,                 1.6519,                0.21127,                0.52917,                0.21165,                0.19018,                0.54997,                 2.3872,                  1.168,             0.00043565,             0.00043565,             0.00043565
                     16,                0.94882,                 2.7985,                 1.5853,                0.33055,                 0.6875,                0.27781,                0.24634,                0.54191,                 2.2279,                 1.1338,              0.0004307,              0.0004307,              0.0004307
                     17,                0.97725,                 2.8369,                 1.6349,                0.20173,                0.74583,                0.33384,                0.28867,                0.61678,                 2.1397,                 1.1845,             0.00042575,             0.00042575,             0.00042575
                     18,                0.90945,                 2.7516,                 1.5533,                0.27035,                0.68333,                0.33085,                0.27452,                0.66037,                 2.1557,                 1.2171,              0.0004208,              0.0004208,              0.0004208
                     19,                0.88465,                 2.6654,                   1.53,                0.32679,                0.72396,                0.37712,                0.33421,                0.56634,                 2.0439,                  1.123,             0.00041585,             0.00041585,             0.00041585
                     20,                0.86084,                  2.639,                  1.485,                0.27016,                 0.6655,                0.32762,                0.29107,                0.55975,                 1.9854,                 1.1267,              0.0004109,              0.0004109,              0.0004109
                     21,                0.88409,                 2.5635,                 1.4926,                0.23261,                0.84688,                0.36678,                0.31945,                0.57255,                 1.9465,                  1.138,             0.00040595,             0.00040595,             0.00040595
                     22,                0.86777,                 2.5249,                 1.4734,                0.13207,                0.83408,                0.29504,                0.25794,                0.54837,                 1.8986,                 1.1057,               0.000401,               0.000401,               0.000401
                     23,                0.85543,                 2.4416,                 1.4787,                0.28574,                0.70665,                0.42888,                0.38356,                0.48834,                 1.8024,                 1.0687,             0.00039605,             0.00039605,             0.00039605
                     24,                0.80651,                 2.3606,                 1.4228,                0.46075,                0.58996,                0.39274,                 0.3456,                0.52671,                 1.8651,                 1.1143,              0.0003911,              0.0003911,              0.0003911
                     25,                0.78951,                 2.3133,                 1.4011,                0.18454,                0.74789,                0.36216,                0.31064,                0.58841,                 1.8929,                 1.1451,             0.00038615,             0.00038615,             0.00038615
                     26,                0.79295,                 2.2616,                 1.4023,                0.31992,                 0.7439,                0.44773,                0.39356,                0.53347,                 1.6426,                  1.102,              0.0003812,              0.0003812,              0.0003812
                     27,                0.73383,                 2.1992,                 1.3471,                0.27533,                0.69944,                0.39518,                0.34631,                0.54181,                 1.6495,                 1.1019,             0.00037625,             0.00037625,             0.00037625
                     28,                0.80057,                 2.2017,                 1.3805,                0.38231,                0.67629,                 0.4026,                0.35919,                0.49589,                  1.564,                 1.0646,              0.0003713,              0.0003713,              0.0003713
                     29,                0.73734,                 2.1819,                 1.3445,                0.42995,                0.76193,                0.42343,                0.37554,                0.55622,                 1.6254,                 1.1001,             0.00036635,             0.00036635,             0.00036635
                     30,                0.74146,                 2.0852,                 1.3422,                 0.3241,                0.82224,                0.44139,                0.39691,                0.49751,                 1.5383,                 1.0617,              0.0003614,              0.0003614,              0.0003614
                     31,                 0.7604,                 2.1032,                 1.3683,                 0.3496,                0.83292,                0.45601,                0.41087,                0.49639,                 1.6992,                 1.0609,             0.00035645,             0.00035645,             0.00035645
                     32,                0.74068,                 2.0213,                 1.3433,                0.46093,                0.80064,                0.54416,                0.48908,                0.50392,                 1.4823,                 1.0465,              0.0003515,              0.0003515,              0.0003515
                     33,                0.74202,                 2.0281,                 1.3293,                0.47227,                0.69885,                0.50053,                0.45604,                0.52167,                 1.4439,                 1.0647,             0.00034655,             0.00034655,             0.00034655
                     34,                0.77109,                 2.0684,                  1.377,                0.33582,                0.71987,                0.43374,                0.39359,                0.50919,                 1.4514,                 1.0697,              0.0003416,              0.0003416,              0.0003416
                     35,                0.71347,                 1.9924,                 1.3153,                 0.3602,                0.84167,                0.49634,                 0.4352,                0.53826,                 1.4533,                 1.0662,             0.00033665,             0.00033665,             0.00033665
                     36,                0.71449,                 1.9445,                 1.3071,                0.45241,                0.77447,                0.53144,                0.46956,                0.51931,                 1.4397,                 1.0635,              0.0003317,              0.0003317,              0.0003317
                     37,                0.72531,                  1.937,                 1.3092,                 0.3573,                0.88542,                0.51408,                0.46299,                0.48644,                 1.4772,                 1.0413,             0.00032675,             0.00032675,             0.00032675
                     38,                0.66925,                 1.8826,                 1.2699,                0.36676,                0.79308,                0.61453,                0.54758,                0.53529,                 1.3848,                 1.0719,              0.0003218,              0.0003218,              0.0003218
                     39,                0.73242,                 1.8936,                 1.3299,                0.41489,                0.83675,                0.55731,                 0.4917,                0.55929,                 1.4072,                  1.072,             0.00031685,             0.00031685,             0.00031685
                     40,                0.68201,                 1.8518,                 1.2858,                0.52007,                  0.766,                0.60072,                0.53416,                0.53779,                 1.3174,                 1.0609,              0.0003119,              0.0003119,              0.0003119
                     41,                0.68256,                 1.8202,                 1.2706,                0.40351,                0.76852,                0.58126,                0.52662,                0.47487,                  1.435,                  1.018,             0.00030695,             0.00030695,             0.00030695
                     42,                0.67818,                 1.7802,                  1.295,                0.43541,                0.79364,                 0.6172,                0.54907,                0.52704,                 1.4015,                 1.0807,               0.000302,               0.000302,               0.000302
                     43,                0.68274,                  1.755,                 1.2705,                0.44691,                0.81412,                0.54455,                0.49443,                0.47554,                 1.3456,                 1.0402,             0.00029705,             0.00029705,             0.00029705
                     44,                0.67985,                 1.7831,                 1.2814,                 0.4667,                0.78385,                0.66308,                0.59207,                0.47966,                 1.2901,                 1.0216,              0.0002921,              0.0002921,              0.0002921
                     45,                0.66819,                 1.7533,                 1.2595,                0.53746,                0.70746,                0.61726,                 0.5473,                0.52309,                 1.2599,                 1.0473,             0.00028715,             0.00028715,             0.00028715
                     46,                0.62465,                 1.6888,                 1.2319,                0.43008,                0.78047,                0.65496,                0.60067,                0.49389,                 1.3006,                 1.0455,              0.0002822,              0.0002822,              0.0002822
                     47,                  0.647,                 1.6906,                 1.2397,                0.51347,                0.74271,                0.58343,                0.52732,                0.48005,                 1.2336,                 1.0335,             0.00027725,             0.00027725,             0.00027725
                     48,                0.66163,                  1.668,                 1.2539,                0.52394,                0.78784,                0.64534,                0.58228,                0.50285,                 1.2007,                  1.052,              0.0002723,              0.0002723,              0.0002723
                     49,                0.66295,                 1.6148,                 1.2347,                0.51869,                0.77001,                0.62591,                0.55345,                0.55508,                 1.1867,                 1.0779,             0.00026735,             0.00026735,             0.00026735
                     50,                0.62704,                 1.6126,                 1.2047,                0.52227,                0.75949,                0.65515,                0.59151,                0.46927,                 1.1344,                 1.0109,              0.0002624,              0.0002624,              0.0002624
                     51,                0.64381,                  1.626,                 1.2162,                0.41709,                0.75114,                0.59937,                0.54754,                0.48981,                 1.2391,                 1.0269,             0.00025745,             0.00025745,             0.00025745
                     52,                0.62756,                 1.5855,                 1.1996,                0.46323,                0.75906,                0.70718,                 0.6261,                0.55369,                 1.1254,                 1.0688,              0.0002525,              0.0002525,              0.0002525
                     53,                0.66269,                 1.6267,                 1.2372,                0.45484,                0.80539,                0.63193,                0.56605,                0.50262,                 1.1767,                  1.025,             0.00024755,             0.00024755,             0.00024755
                     54,                0.62089,                 1.5631,                 1.2063,                0.53168,                0.76794,                 0.6805,                 0.6153,                0.49517,                 1.0358,                 1.0229,              0.0002426,              0.0002426,              0.0002426
                     55,                0.62143,                 1.5484,                 1.2046,                0.52944,                 0.7648,                0.65282,                0.59036,                0.47554,                  1.114,                 1.0134,             0.00023765,             0.00023765,             0.00023765
                     56,                0.63868,                 1.5317,                 1.2175,                0.53561,                 0.7588,                0.64551,                0.58028,                0.50293,                 1.0686,                 1.0447,              0.0002327,              0.0002327,              0.0002327
                     57,                0.63547,                 1.5259,                 1.2061,                0.53944,                0.89268,                0.69777,                0.63424,                 0.4876,                 1.0442,                 1.0281,             0.00022775,             0.00022775,             0.00022775
                     58,                0.60018,                 1.4861,                 1.1809,                0.54497,                0.78319,                0.67788,                0.61592,                0.47599,                  1.155,                 1.0145,              0.0002228,              0.0002228,              0.0002228
                     59,                0.62119,                 1.5099,                 1.1985,                0.54862,                0.84501,                0.70863,                0.64164,                0.47936,                 1.0324,                 1.0236,             0.00021785,             0.00021785,             0.00021785
                     60,                0.63302,                 1.5335,                  1.213,                0.61018,                 0.7237,                0.74007,                0.67309,                0.46425,                 1.0141,                 1.0108,              0.0002129,              0.0002129,              0.0002129
                     61,                0.63916,                  1.531,                 1.2094,                0.51823,                0.76209,                0.68376,                0.61955,                0.49706,                 1.0581,                 1.0211,             0.00020795,             0.00020795,             0.00020795
                     62,                0.60228,                  1.459,                 1.1675,                0.53993,                0.81827,                0.72032,                0.64944,                0.49347,                 1.0361,                 1.0209,               0.000203,               0.000203,               0.000203
                     63,                 0.6144,                 1.4422,                  1.182,                0.64415,                   0.78,                0.69826,                0.63057,                 0.4705,                0.98983,                 1.0096,             0.00019805,             0.00019805,             0.00019805
                     64,                0.58813,                 1.4101,                 1.1676,                 0.4864,                0.87798,                 0.7512,                0.68418,                0.45414,                 1.0322,                 1.0016,              0.0001931,              0.0001931,              0.0001931
                     65,                0.61386,                 1.4734,                 1.1904,                0.56571,                0.87524,                0.73197,                0.65716,                0.49838,                 1.0401,                 1.0221,             0.00018815,             0.00018815,             0.00018815
                     66,                0.60583,                 1.4122,                 1.1924,                0.57089,                 0.7995,                0.75909,                0.68288,                0.48074,                0.99061,                 1.0095,              0.0001832,              0.0001832,              0.0001832
                     67,                0.59747,                 1.4071,                 1.1655,                0.57386,                0.81709,                  0.729,                0.65787,                0.47847,                0.97865,                  1.013,             0.00017825,             0.00017825,             0.00017825
                     68,                0.60501,                 1.4346,                 1.1648,                0.55141,                0.69243,                0.70106,                0.63474,                0.48111,                 1.1104,                  1.023,              0.0001733,              0.0001733,              0.0001733
                     69,                0.59083,                 1.4574,                 1.1725,                0.55868,                0.76533,                0.76782,                0.70632,                0.45065,                0.97405,                0.99963,             0.00016835,             0.00016835,             0.00016835
                     70,                0.60152,                 1.4054,                 1.1695,                 0.5969,                0.80699,                 0.7646,                0.68787,                0.46793,                0.94922,                0.99679,              0.0001634,              0.0001634,              0.0001634
                     71,                0.59227,                 1.3747,                 1.1765,                0.55167,                0.78106,                0.74122,                0.67637,                0.47862,                0.94441,                 1.0144,             0.00015845,             0.00015845,             0.00015845
                     72,                0.57802,                  1.394,                 1.1522,                0.56789,                0.84856,                0.74072,                0.66841,                0.47392,                0.94618,                 1.0069,              0.0001535,              0.0001535,              0.0001535
                     73,                0.57919,                 1.3239,                 1.1528,                0.56459,                0.84457,                0.68016,                0.61913,                0.45538,                0.98022,                0.99161,             0.00014855,             0.00014855,             0.00014855
                     74,                0.56021,                 1.3299,                   1.12,                0.57346,                0.81509,                0.69919,                0.62621,                0.49177,                 1.0052,                 1.0113,              0.0001436,              0.0001436,              0.0001436
                     75,                0.59645,                 1.3549,                 1.1866,                0.65819,                0.82902,                0.78003,                0.70585,                0.46746,                0.90564,                0.99921,             0.00013865,             0.00013865,             0.00013865
                     76,                0.59323,                  1.346,                 1.1688,                0.62776,                0.84704,                0.76132,                0.68959,                0.44504,                0.93216,                0.99063,              0.0001337,              0.0001337,              0.0001337
                     77,                0.58124,                 1.3509,                 1.1411,                0.61101,                0.82678,                0.80471,                0.73046,                0.48324,                0.92625,                 1.0047,             0.00012875,             0.00012875,             0.00012875
                     78,                0.57737,                 1.3659,                 1.1491,                0.65194,                0.79395,                0.75851,                0.68955,                0.47321,                0.89784,                 1.0025,              0.0001238,              0.0001238,              0.0001238
                     79,                0.58755,                 1.3209,                 1.1618,                0.63967,                0.77797,                0.81402,                 0.7292,                0.47711,                0.89768,                 1.0124,             0.00011885,             0.00011885,             0.00011885
                     80,                 0.5558,                 1.3264,                 1.1288,                0.66618,                0.82738,                0.73587,                0.67068,                0.45932,                0.88474,                0.99458,              0.0001139,              0.0001139,              0.0001139
                     81,                0.56229,                 1.2446,                 1.1427,                0.71619,                0.80289,                0.82688,                0.74668,                0.49784,                0.83923,                 1.0149,             0.00010895,             0.00010895,             0.00010895
                     82,                0.58276,                 1.3289,                 1.1562,                0.71691,                0.79969,                0.80462,                0.73048,                0.47223,                0.84478,                 1.0035,               0.000104,               0.000104,               0.000104
                     83,                0.56257,                 1.2827,                 1.1533,                 0.6964,                0.78187,                 0.7836,                0.71503,                 0.4671,                0.84541,                 1.0005,              9.905e-05,              9.905e-05,              9.905e-05
                     84,                 0.5493,                 1.2495,                 1.1205,                0.65529,                0.79621,                0.77797,                0.71005,                0.45614,                0.90825,                0.99521,               9.41e-05,               9.41e-05,               9.41e-05
                     85,                0.55556,                 1.2646,                 1.1497,                0.66864,                0.81131,                0.82085,                0.74401,                0.46625,                0.83572,                0.99828,              8.915e-05,              8.915e-05,              8.915e-05
                     86,                 0.5548,                 1.2547,                 1.1315,                0.74338,                0.74133,                0.78177,                0.71765,                 0.4567,                0.82317,                0.99483,               8.42e-05,               8.42e-05,               8.42e-05
                     87,                0.56421,                 1.2446,                  1.121,                0.70542,                0.77606,                0.80293,                0.72206,                0.47188,                0.81685,                 1.0006,              7.925e-05,              7.925e-05,              7.925e-05
                     88,                0.54931,                 1.2589,                 1.1408,                0.64781,                0.85353,                0.80784,                0.73518,                0.45562,                0.82936,                0.99876,               7.43e-05,               7.43e-05,               7.43e-05
                     89,                0.57799,                 1.2369,                 1.1693,                0.62127,                0.78118,                0.78883,                0.71343,                 0.4956,                0.88964,                 1.0193,              6.935e-05,              6.935e-05,              6.935e-05
                     90,                0.54051,                 1.1888,                 1.1208,                0.63599,                0.88471,                0.78691,                0.71726,                0.45883,                0.83407,                 1.0006,               6.44e-05,               6.44e-05,               6.44e-05
                     91,                0.46329,                 1.0836,                 1.0252,                 0.6121,                0.82511,                0.76514,                0.68304,                 0.4892,                0.90317,                 1.0111,              5.945e-05,              5.945e-05,              5.945e-05
                     92,                0.45955,                 1.0699,                 1.0187,                0.71833,                 0.7689,                0.80251,                0.72794,                0.45124,                0.81908,                 0.9908,               5.45e-05,               5.45e-05,               5.45e-05
                     93,                0.45604,                0.98871,                 1.0114,                0.73348,                0.81818,                0.80775,                0.73386,                0.46447,                 0.8073,                0.99455,              4.955e-05,              4.955e-05,              4.955e-05
                     94,                0.46698,                 1.0661,                 1.0269,                 0.7179,                0.82698,                 0.8139,                0.74208,                0.46998,                0.81645,                 1.0005,               4.46e-05,               4.46e-05,               4.46e-05
                     95,                0.45223,                0.95696,                 1.0054,                0.72567,                0.76398,                0.80075,                 0.7223,                0.45798,                0.80134,                0.99077,              3.965e-05,              3.965e-05,              3.965e-05
                     96,                0.45084,                0.97526,                  1.007,                0.68014,                0.84601,                0.80812,                0.73158,                0.46923,                0.83098,                 1.0006,               3.47e-05,               3.47e-05,               3.47e-05
                     97,                0.45171,                0.94544,                 1.0274,                0.72442,                0.83968,                0.79782,                0.72387,                0.46085,                0.78628,                0.99124,              2.975e-05,              2.975e-05,              2.975e-05
                     98,                 0.4481,                 1.0426,                 1.0065,                0.74047,                0.78357,                0.85661,                0.78019,                0.46211,                0.78215,                0.99134,               2.48e-05,               2.48e-05,               2.48e-05
                     99,                0.45018,                0.95812,                 1.0077,                0.73265,                 0.8403,                0.83204,                0.75789,                 0.4573,                0.76997,                0.98992,              1.985e-05,              1.985e-05,              1.985e-05
                    100,                0.44206,                0.94164,                0.99766,                0.73528,                0.84358,                 0.8567,                0.77672,                0.45452,                0.76515,                0.98862,               1.49e-05,               1.49e-05,               1.49e-05
